policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,none,0.0,0,6000001,27,5.211004327558727e-05,0,0,27,-0.1049022325860682,-443.94624830424067,4232,20,86,0.004064272211720227,2,158.37222222222223,0.012628477216122355,7.487860438970302,0.9745762711864406,60,236,1.1641480698127187,219,152,1.3828182551653978,0.9597642684252989,0.0,38.0,0
policy,none,0.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.049123753927743825,-168.3471047103781,3427,0,0,0.0,0,118.67361111111111,0.0,4.982953618945868,0.9782608695652174,43,230,0.6538786907396872,130,74,1.0954415120837966,0.6235590145707766,0.0,46.04054054054054,0
policy,none,0.0,2,6015839,22,9.089051767727325e-05,0,0,22,-0.4222251315562915,-1216.8528291452321,2882,98,472,0.03275503122831367,12,87.80416666666666,0.13666777392872398,10.000695396166858,0.9405405405405406,35,185,2.4673104722444745,221,117,2.5169648365206663,1.3325107958050586,0.0,42.31818181818182,0
policy,none,0.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.07532166375659148,-245.77458883775802,3263,9,40,0.002451731535396874,1,72.29444444444445,0.013832321524629215,4.615578161375575,0.967948717948718,27,156,0.973365236727957,86,124,1.1895796511181125,1.7152078690540227,0.0,60.79245283018868,0
policy,none,0.0,4,6031677,30,9.161027245685475e-05,0,0,30,-0.2622949783628195,-971.8028948342462,3705,69,316,0.017058029689608636,11,153.95833333333334,0.07144790257104194,9.80473806306862,0.9166666666666666,68,300,1.3128804535279306,275,127,1.7861975642760486,0.8248985115020298,0.0,28.282442748091604,0
policy,none,0.0,5,6039596,30,6.367204922456714e-05,0,0,30,-0.03826360939657556,-150.26119410035224,3927,0,0,0.0,0,163.26388888888889,0.0,4.468452341080671,0.9884615384615385,57,260,0.5429380239962316,175,101,1.0718843045512547,0.6186303700552956,0.0,39.94897959183673,0
policy,none,0.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.016576844733196053,-50.95722070984466,3074,0,0,0.0,0,76.64305555555555,0.0,2.1587828299258156,1.0,23,149,0.3302910692147346,82,24,1.0698947139517605,0.3131399162785641,0.0,79.28947368421052,0
policy,none,0.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.04742489313556656,-132.97940035212864,2804,6,25,0.001783166904422254,1,58.25694444444444,0.017165335558469424,2.7785487840119703,0.9826086956521739,23,115,0.5256345781105182,78,32,1.338896173560615,0.5492907378710216,0.0,70.86486486486487,0
policy,none,0.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.03557163531244028,-145.73698987506782,4097,0,0,0.0,0,153.3,0.0,4.669377518908123,0.9835390946502057,51,243,0.6377497337779594,147,59,0.958904109589041,0.38486627527723416,0.0,40.323232323232325,0
policy,none,0.0,9,6071272,25,6.935106141067473e-05,0,0,25,-0.16238757081043043,-613.3378549509957,3777,35,158,0.008366428382314006,6,130.83333333333334,0.045859872611464965,6.912389994545787,0.9644444444444444,49,225,1.2572927054019212,243,112,1.857324840764331,0.8560509554140127,0.0,38.83505154639175,0
