policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,none,0.0,0,6000001,27,5.211004327558727e-05,0,0,27,-1.0974778677321604,-4644.526336242503,4232,403,1872,0.08846880907372401,42,158.36805555555554,0.2652049989037492,4.059706849037213,0.9790794979079498,45,239,1.3591934284886096,857,1373,5.4114448585836445,8.669677702258276,0.0,46.82954545454545,0
policy,none,0.0,1,6007920,25,8.539162499599113e-05,1,5,25,-1.4611710460478262,-5007.4331748059,3427,442,2054,0.11987160782025094,48,118.6763888888889,0.4044612449822697,6.138742599501693,0.9605263157894737,49,228,0.7046521038111312,807,1530,6.800004681264409,12.892202183809847,0.0,48.43478260869565,0
policy,none,0.0,2,6015839,22,9.089051767727325e-05,2,5,22,-0.8782888462530762,-2531.2284549013657,2882,205,935,0.0648854961832061,23,87.8125,0.2619217081850534,6.893574557384581,0.9720670391061452,30,179,1.634928417611452,657,1034,7.48185053380783,11.77508896797153,0.0,56.509803921568626,0
policy,none,0.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.8576894977320811,-2798.640831099781,3263,251,1183,0.07250996015936255,19,72.3,0.2627939142461964,2.897799138615334,0.9736842105263158,26,152,0.14592760439670735,497,813,6.874135546334717,11.2448132780083,0.0,80.925,0
policy,none,0.0,4,6031677,30,9.161027245685475e-05,0,0,30,-2.3351864852106536,-8651.865927705472,3705,790,3701,0.19978407557354927,79,153.9875,0.5130286549232892,8.082842941012704,0.946236559139785,72,279,1.6082207227980618,1146,1967,7.442162513191005,12.773764104229238,0.0,34.471698113207545,0
policy,none,0.0,5,6039596,30,6.367204922456714e-05,0,0,30,-1.5993592007624302,-6280.683581394063,3927,566,2654,0.13516679399032341,59,163.2722222222222,0.3613596924019191,5.243659517443846,0.9763779527559056,55,254,0.9106279248499072,977,1613,5.983871516553813,9.879206505835517,0.0,51.421052631578945,0
policy,none,0.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.663194353284629,-2038.6594419969492,3074,169,784,0.051008458035133375,20,76.64444444444445,0.26094520150768336,1.7245482491968058,1.0,23,148,0.2763588392082762,576,909,7.515221803421281,11.85995940852421,0.0,85.33333333333333,0
policy,none,0.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.35147440213814046,-985.5342235953458,2804,81,365,0.026034236804564907,10,58.25138888888889,0.17166972652058846,2.036518944603157,1.0,15,119,0.2601893543699027,439,421,7.536300994253833,7.227295486516773,0.0,92.9,0
policy,none,0.0,8,6063353,27,5.582844963546904e-05,0,0,27,-1.5595721129265765,-6389.566946660184,4097,578,2717,0.13263363436660972,49,153.30555555555554,0.31962312013045846,4.394621240854751,0.9832635983263598,48,239,0.7787648495783844,942,1515,6.144591411487589,9.882225040768256,0.0,60.19117647058823,0
policy,none,0.0,9,6071272,25,6.935106141067473e-05,0,0,25,-1.272405454251155,-4805.875400706612,3777,424,1993,0.10553349218956844,41,130.85416666666666,0.313325903518548,4.600017290872341,0.9809523809523809,39,210,0.7552264161309508,752,1380,5.746855596242637,10.54609138672186,0.0,59.20634920634921,0
policy,none,0.0,10,6079191,20,9.686706663473617e-05,0,0,20,-0.9744288192542964,-2491.614490833236,2557,212,974,0.07618302698474776,25,70.78611111111111,0.35317662755562534,3.3389283487250987,0.9885057471264368,35,174,0.966850654044037,610,879,8.617509712357258,12.417690224855786,0.0,44.94642857142857,0
policy,none,0.0,11,6087110,16,7.090545193863755e-05,0,0,16,-0.8387926735563679,-2413.2065218216703,2877,203,943,0.06555439694125825,20,63.73888888888889,0.31378017955199167,5.5601543764798755,0.9785714285714285,24,140,1.3719082755313663,730,853,11.452976553647694,13.382724657892444,0.0,58.5,0
policy,none,0.0,12,6095029,25,5.4635751566909166e-05,0,0,25,-0.9882188969838248,-4403.5034049599235,4456,382,1734,0.07782764811490125,46,154.41666666666666,0.2978953049109552,7.979796817382255,0.9681818181818181,51,220,0.771000007528132,988,1384,6.398273070696169,8.962763086886131,0.0,62.74647887323944,0
policy,none,0.0,13,6102948,29,8.97996014105024e-05,0,0,29,-1.9138877150192408,-7035.451240410729,3676,628,2954,0.16071817192600654,53,147.68333333333334,0.3588759733664372,7.259403341572395,0.9522058823529411,56,272,1.345208754581648,848,1939,5.742015573862995,13.129443629387202,0.0,47.01298701298701,0
policy,none,0.0,14,6110867,24,7.225792033344514e-05,0,0,24,-1.1206467736437795,-3653.308482078721,3260,315,1474,0.09042944785276073,29,108.39722222222223,0.26753453091766394,6.546890802365225,0.9742268041237113,34,194,1.352365109380358,884,975,8.155190528662583,8.994695436024909,0.0,62.98039215686274,0
policy,none,0.0,15,6118786,30,6.576649339802706e-05,0,0,30,-1.5123140697896134,-5606.148256710097,3707,501,2290,0.12355004046398706,55,154.13055555555556,0.3568403409807703,3.4333904764408394,0.9915254237288136,50,236,0.6241718249100822,943,1719,6.1181898462702975,11.152882657198983,0.0,47.0,0
policy,none,0.0,16,6126705,27,6.178195181592862e-05,0,0,27,-1.0658338684931654,-4421.07888650965,4148,378,1755,0.08461909353905496,38,155.20416666666668,0.24483878761845954,4.83850681657455,0.9799196787148594,41,249,0.790186497456531,911,1426,5.86968777685307,9.187897661682191,0.0,59.02857142857143,0
