policy,delay,delay_mean_s,episode,episode_seed,n_ac,rho,los_pairs,los_seconds,n_aircraft,mean_episode_reward,ep_reward_total,ep_length,ep_los_steps,ep_los_seconds,ep_los_fraction,ep_los_events,ep_flight_hours,ep_los_events_per_fh,ep_exit_deviation_nm,ep_arrival_rate,ep_manoeuvred_exits,ep_exits,ep_mean_drift_deg,ep_turns,ep_speed_changes,ep_turns_per_fh,ep_speed_changes_per_fh,ep_delay_mean_s,ep_focus_hold_steps,ep_discarded
policy,lognormal,90.0,0,6000001,27,5.211004327558727e-05,0,0,27,-1.058033895127791,-4477.599444180812,4232,332,1546,0.07306238185255198,32,158.35972222222222,0.202071584560468,19.411998376351846,0.9142857142857143,51,245,3.9417223943219484,1625,111,10.261447653461266,0.7009358089441233,84.59139784946237,37.629629629629626,1544
policy,lognormal,90.0,1,6007920,25,8.539162499599113e-05,0,0,25,-0.7657579438694468,-2624.2524736405944,3427,184,860,0.050189670265538375,15,118.68611111111112,0.12638378542841763,14.508461878087349,0.8778280542986425,40,221,2.2151406991589706,1128,109,9.504060664217006,0.9183888407798347,89.6774193548387,40.93975903614458,1100
policy,lognormal,90.0,2,6015839,22,9.089051767727325e-05,0,0,22,-0.7515634896609749,-2166.0059772029294,2882,145,683,0.04739764052741152,17,87.81111111111112,0.19359736808806782,18.313348955555956,0.8777777777777778,38,180,4.239588361969225,979,133,11.148930785777551,1.5146147032772364,91.60162601626017,36.0126582278481,985
policy,lognormal,90.0,3,6023758,16,5.614090721424542e-05,0,0,16,-0.5919143451063243,-1931.4165080819364,3263,137,649,0.03977934416181428,11,72.31527777777778,0.15211170222981926,11.062999977306907,0.9432624113475178,26,141,2.528552698476871,821,67,11.353064320971056,0.9264985499452628,91.64044943820225,50.46031746031746,794
policy,lognormal,90.0,4,6031677,30,9.161027245685475e-05,0,0,30,-1.130027566778986,-4186.752134916143,3705,306,1424,0.07686909581646424,26,153.99305555555554,0.16883878241262684,16.46634217732839,0.850909090909091,60,275,3.3799300005442117,1679,159,10.903089064261557,1.0325140924464489,84.09042553191489,34.5377358490566,1642
policy,lognormal,90.0,5,6039596,30,6.367204922456714e-05,1,5,30,-0.9972504837389328,-3916.202649642789,3927,294,1340,0.06824548001018589,33,163.2902777777778,0.20209408942833568,20.463555218499163,0.8838174273858921,56,241,3.8927686559802464,1508,138,9.23508748054334,0.8451207376094038,88.59217877094972,34.75,1461
policy,lognormal,90.0,6,6047515,18,6.0776304890689046e-05,0,0,18,-0.19115889535455768,-587.6224443199103,3074,19,88,0.005725439167208848,2,76.64027777777778,0.02609593881952121,6.800051843305978,0.9271523178807947,21,151,1.4034395133359239,532,89,6.9415197259926416,1.161269277468694,87.82857142857142,70.76744186046511,548
policy,lognormal,90.0,7,6055434,15,5.9676586015687395e-05,0,0,15,-0.5461335116400187,-1531.3583666386123,2804,102,467,0.0333095577746077,9,58.24166666666667,0.1545285448562026,9.720638088729327,0.9126984126984127,24,126,2.3057507079016557,598,99,10.267563313778796,1.6998139934182286,87.98837209302326,69.0,606
policy,lognormal,90.0,8,6063353,27,5.582844963546904e-05,0,0,27,-0.7972507353131781,-3266.336262578091,4097,252,1196,0.05838418354893825,19,153.31944444444446,0.12392426850258174,11.211150584600512,0.9344978165938864,43,229,2.182521839350036,1111,111,7.246308542440437,0.7239786212519249,88.20915032679738,46.97674418604651,1066
policy,lognormal,90.0,9,6071272,25,6.935106141067473e-05,2,5,25,-0.7188082830100322,-2714.9388849288916,3777,183,848,0.04490336245697644,16,130.82638888888889,0.12229948511067466,16.13463970794934,0.8913043478260869,44,230,2.8539359789981513,1201,160,9.180105101120017,1.2229948511067468,85.32413793103449,48.896103896103895,1208
policy,lognormal,90.0,10,6079191,20,9.686706663473617e-05,0,0,20,-0.8734137403970037,-2233.3189341951384,2557,168,799,0.06249511145874071,15,70.79583333333333,0.21187687599317284,8.387308301356851,0.9221556886227545,29,167,2.536685697251061,801,108,11.31422517803543,1.5255135071508445,88.09278350515464,47.80769230769231,807
policy,lognormal,90.0,11,6087110,16,7.090545193863755e-05,0,0,16,-0.3786518295843809,-1089.3813137142638,2877,60,280,0.019464720194647202,6,63.74861111111111,0.09411969759689753,6.777471429467494,0.9473684210526315,26,133,1.6741107861082243,767,70,12.031634676136735,1.0980631386304713,91.49367088607595,66.53488372093024,753
policy,lognormal,90.0,12,6095029,25,5.4635751566909166e-05,0,0,25,-0.5331284923190628,-2375.6205617737437,4456,158,741,0.03325852782764811,14,154.4,0.09067357512953368,11.883124973162193,0.9008620689655172,41,232,1.3582023534373602,1083,132,7.0142487046632125,0.854922279792746,90.18248175182482,59.648648648648646,1069
policy,lognormal,90.0,13,6102948,29,8.97996014105024e-05,0,0,29,-0.9732600350759696,-3577.7038889392643,3676,265,1237,0.06730141458106638,26,147.69583333333333,0.17603746438344572,14.008723851627705,0.908745247148289,51,263,3.006735117725333,1437,122,9.729455243038904,0.8260219482607838,89.96913580246914,39.376344086021504,1392
policy,lognormal,90.0,14,6110867,24,7.225792033344514e-05,0,0,24,-0.5833080630260178,-1901.5842854648179,3260,111,488,0.029938650306748468,17,108.39027777777778,0.15684063505080661,14.183264820606677,0.8492462311557789,45,199,2.592961943355395,1165,131,10.74819646083469,1.208595481862098,86.29496402877697,41.717948717948715,1147
policy,lognormal,90.0,15,6118786,30,6.576649339802706e-05,0,0,30,-1.0452243269726629,-3874.6465800876613,3707,296,1415,0.07634205557054222,25,154.13194444444446,0.16219869339941426,18.320512389892553,0.8638297872340426,54,235,3.411646874382503,1382,137,8.966343771119622,0.8888488398287901,85.93081761006289,37.323232323232325,1350
policy,lognormal,90.0,16,6126705,27,6.178195181592862e-05,0,0,27,-0.758155721193333,-3144.8299315099453,4148,220,1037,0.05,20,155.21527777777777,0.12885329515457922,15.221130428846843,0.8838174273858921,49,241,2.873651661462473,1360,174,8.762024070511387,1.1210236678448393,88.29878048780488,43.53763440860215,1363
policy,lognormal,90.0,17,6134624,16,7.673893783871535e-05,0,0,16,-0.4236141403993707,-1158.5846739922788,2735,85,410,0.029981718464351007,4,60.575,0.0660338423442014,7.911825267367853,0.9315068493150684,27,146,1.7025585052040206,411,71,6.784977300866694,1.1721007016095748,87.328125,59.4,415
policy,lognormal,90.0,18,6142543,22,7.226780431245577e-05,0,0,22,-0.4755073839172213,-1562.041756168072,3285,90,408,0.024840182648401828,11,100.10416666666667,0.10988553590010405,12.937582482550317,0.9282051282051282,33,195,2.3878811253892733,919,105,9.180437044745057,1.048907388137357,92.40707964601769,50.984375,908
policy,lognormal,90.0,19,6150462,19,5.888784401448484e-05,0,0,19,-0.5846682833636483,-2086.096435041497,3568,140,659,0.03693946188340807,14,93.91527777777777,0.149070527514456,14.810134924197865,0.8728323699421965,35,173,2.6125519486149633,946,74,10.072908502048241,0.7879442168621246,92.8529411764706,55.65079365079365,910
policy,lognormal,90.0,20,6158381,26,4.847822575301942e-05,0,0,26,-0.33954565214875937,-1443.0690216322273,4250,79,349,0.016423529411764705,11,153.16944444444445,0.07181589017246695,12.448020635349707,0.9174311926605505,38,218,1.6128362716307851,975,102,6.365499356195934,0.6659291634174208,96.49056603773585,58.625,962
policy,lognormal,90.0,21,6166300,17,5.701430381926289e-05,0,0,17,-0.3135361600954027,-973.21624093613,3104,61,280,0.01804123711340206,8,73.09583333333333,0.10944536282277832,6.481483960919384,0.9640287769784173,21,139,1.5118824491335816,597,79,8.167360200649831,1.0807729578749359,85.91764705882353,64.8936170212766,586
policy,lognormal,90.0,22,6174219,27,4.4774238873528314e-05,0,0,27,-0.6010692285878125,-2552.7410138124396,4247,168,785,0.036967271014834,16,158.9611111111111,0.10065354908607975,13.34382697583126,0.9216589861751152,40,217,2.3146032359197113,1162,98,7.309964002376542,0.6165029881522385,94.82142857142857,47.46067415730337,1115
policy,lognormal,90.0,23,6182138,15,7.941711257824145e-05,0,0,15,-0.4864340700234777,-1201.49215295799,2470,79,371,0.030040485829959513,8,51.291666666666664,0.15597075548334688,13.235744586367124,0.8833333333333333,27,120,3.225913907057942,582,88,11.346872461413486,1.7156783103168156,91.79746835443038,53.30434782608695,586
policy,lognormal,90.0,24,6190057,26,6.512842724014486e-05,0,0,26,-0.730578001955243,-2603.7799989684863,3564,186,850,0.04769921436588103,21,128.3986111111111,0.16355317100609,13.327126497345906,0.9078341013824884,44,217,2.6446915605489276,1187,95,9.244648284963276,0.7398833926465975,88.92248062015504,45.166666666666664,1148
policy,lognormal,90.0,25,6197976,23,9.191914932803656e-05,0,0,23,-0.6956663805581584,-2146.826450402477,3086,135,624,0.040440699935191185,15,98.3,0.1525940996948118,14.025272183248598,0.8960396039603961,42,202,3.0784239534336826,1236,143,12.573753814852493,1.4547304170905393,91.46478873239437,37.548780487804876,1232
policy,lognormal,90.0,26,6205895,29,5.801971486739717e-05,1,5,29,-1.0497139515321687,-4305.926629184956,4102,323,1531,0.07464651389566065,29,164.87083333333334,0.1758952715509616,16.38197668257343,0.9163346613545816,50,251,2.990350760114689,1630,138,9.886527332002325,0.8370188784149207,86.45810055865921,40.52,1580
policy,lognormal,90.0,27,6213814,23,8.963640512817955e-05,0,0,23,-0.9010302258019749,-2603.9773525677074,2890,182,840,0.05813148788927336,20,92.05277777777778,0.2172666646549383,14.532328193918199,0.90625,32,192,4.043865620940247,1153,127,12.525423217357192,1.379643320558858,93.475,44.38461538461539,1155
policy,lognormal,90.0,28,6221733,21,7.911753872348533e-05,1,5,21,-0.8041100098024788,-2471.83417013282,3074,176,841,0.05471698113207547,12,89.3875,0.13424695846734722,9.156740013914485,0.9025641025641026,29,195,2.5134934602308348,834,118,9.330163613480632,1.320095091595581,86.71153846153847,51.91228070175438,842
policy,lognormal,90.0,29,6229652,17,6.323080241592448e-05,0,0,17,-0.23200749627256254,-687.4382114556028,2963,36,164,0.011069861626729667,4,69.7625,0.05733739473212686,6.211956478687873,0.9507042253521126,19,142,1.286780822546279,419,46,6.0060920981902886,0.6593800394194589,85.29411764705883,64.62222222222222,404
policy,lognormal,90.0,30,6237571,16,4.5937843759634296e-05,0,0,16,-0.3052546753095892,-1050.3813377402964,3441,73,348,0.02022667829119442,6,76.27361111111111,0.07866416592312035,5.976351758949352,0.9568345323741008,19,139,1.2286646952720939,535,62,7.014221461478231,0.8128630478722436,91.7536231884058,81.48780487804878,522
policy,lognormal,90.0,31,6245490,15,7.243543427813692e-05,0,0,15,-0.3906070802765333,-1095.2622530953993,2804,60,297,0.021184022824536377,3,58.231944444444444,0.051518114818613306,12.042744252102757,0.924812030075188,25,133,2.5613305868608935,702,71,12.055238867555513,1.2192620507071816,87.07608695652173,62.266666666666666,681
policy,lognormal,90.0,32,6253409,20,4.091717418120412e-05,0,0,20,-0.3613182494952035,-1408.0572182828082,3897,75,342,0.017551963048498844,8,108.01388888888889,0.07406454931207407,15.07847356417246,0.9411764705882353,34,170,2.6358533759090346,841,78,7.786035746431787,0.7221293557927222,89.55555555555556,54.714285714285715,803
policy,lognormal,90.0,33,6261328,22,4.586412736647766e-05,0,0,22,-0.2942805835716544,-1185.0679100430523,4027,60,275,0.013657809783958282,6,122.77638888888889,0.048869331101030554,12.13556555163966,0.9128205128205128,32,195,1.8030833009778995,743,100,6.051652168010951,0.8144888516838426,86.67543859649123,70.21052631578948,722
